,DateTime,Open,High,Low,Close
0,2022-11-16 23:00:00,11777.75,11784.0,11764.25,11780.0
1,2022-11-16 23:02:00,11780.0,11780.25,11775.0,11777.5
2,2022-11-16 23:04:00,11777.5,11779.5,11775.0,11777.75
3,2022-11-16 23:06:00,11777.75,11778.5,11775.0,11776.75
4,2022-11-16 23:08:00,11776.75,11777.25,11773.25,11775.0
5,2022-11-16 23:10:00,11775.0,11779.5,11774.75,11775.5
6,2022-11-16 23:12:00,11775.5,11777.5,11774.0,11775.5
7,2022-11-16 23:14:00,11775.5,11777.0,11771.0,11772.25
8,2022-11-16 23:16:00,11772.25,11774.25,11770.0,11772.75
9,2022-11-16 23:18:00,11772.75,11774.5,11770.0,11774.0
10,2022-11-16 23:20:00,11774.0,11776.0,11771.0,11771.0
11,2022-11-16 23:22:00,11771.0,11773.25,11768.75,11770.25
12,2022-11-16 23:24:00,11770.25,11772.75,11769.0,11769.25
13,2022-11-16 23:26:00,11769.25,11772.25,11768.75,11771.25
14,2022-11-16 23:28:00,11771.25,11773.75,11770.75,11773.0
15,2022-11-16 23:30:00,11773.0,11773.5,11770.0,11771.75
16,2022-11-16 23:32:00,11771.75,11773.5,11771.25,11772.25
17,2022-11-16 23:34:00,11772.25,11773.5,11772.0,11773.0
18,2022-11-16 23:36:00,11773.0,11773.0,11770.0,11773.0
19,2022-11-16 23:38:00,11773.0,11776.25,11772.75,11775.5
20,2022-11-16 23:40:00,11775.5,11778.25,11774.0,11777.5
21,2022-11-16 23:42:00,11777.5,11779.25,11777.25,11778.0
22,2022-11-16 23:44:00,11778.0,11778.0,11775.0,11777.0
23,2022-11-16 23:46:00,11777.0,11778.0,11774.0,11776.75
24,2022-11-16 23:48:00,11776.75,11779.5,11776.75,11778.0
25,2022-11-16 23:50:00,11778.0,11778.25,11775.5,11776.25
26,2022-11-16 23:52:00,11776.25,11781.25,11773.0,11775.0
27,2022-11-16 23:54:00,11775.0,11776.25,11775.0,11776.0
28,2022-11-16 23:56:00,11776.0,11778.25,11774.75,11777.5
29,2022-11-16 23:58:00,11777.5,11780.0,11777.0,11779.75
30,2022-11-17 00:00:00,11779.75,11786.5,11778.5,11785.0
31,2022-11-17 00:02:00,11785.0,11785.5,11781.5,11783.0
32,2022-11-17 00:04:00,11783.0,11784.75,11780.5,11783.75
33,2022-11-17 00:06:00,11783.75,11786.75,11782.75,11784.25
34,2022-11-17 00:08:00,11784.25,11786.25,11783.25,11785.5
35,2022-11-17 00:10:00,11785.5,11786.25,11783.5,11785.5
36,2022-11-17 00:12:00,11785.5,11785.5,11783.0,11784.25
37,2022-11-17 00:14:00,11784.25,11785.0,11778.0,11778.0
