DateTime,Open,High,Low,Close
10/2/2022 22:00,11030,11032.25,10981.75,10997.5
10/2/2022 22:01,10997.5,11008,10994,10996
10/2/2022 22:02,10996,11000.25,10992.25,10999
10/2/2022 22:03,10999,11000.5,10996.25,10998.75
10/2/2022 22:04,10998.75,10999.75,10992.5,10994.75
10/2/2022 22:05,10994.75,10995.25,10987.25,10989.5
10/2/2022 22:06,10989.5,10990.25,10985,10987
10/2/2022 22:07,10987,10988.25,10978.75,10981.75
10/2/2022 22:08,10981.75,10990.5,10980,10985
10/2/2022 22:09,10985,10988,10982.25,10984.75
10/2/2022 22:10,10984.75,11000,10984.5,10999
10/2/2022 22:11,10999,11007,10995,11005.75
10/2/2022 22:12,11005.75,11025.25,11005.75,11022.25
10/2/2022 22:13,11022.25,11031,11018.5,11019.75
10/2/2022 22:14,11019.75,11023.5,11013.5,11013.75
10/2/2022 22:15,11013.75,11020.75,11011,11019.75
10/2/2022 22:16,11019.75,11025.5,11015.25,11016.75
10/2/2022 22:17,11016.75,11019.25,11013.5,11019
10/2/2022 22:18,11019,11037.5,11019,11036.5
10/2/2022 22:19,11036.5,11037,11028.75,11028.75
10/2/2022 22:20,11028.75,11033.5,11026.75,11030
10/2/2022 22:21,11030,11032.25,11025.25,11031.5
10/2/2022 22:22,11031.5,11050,11031,11041.5
10/2/2022 22:23,11041.5,11043.25,11033.75,11034.5
10/2/2022 22:24,11034.5,11036,11026.5,11026.5
10/2/2022 22:25,11026.5,11026.75,11014,11019
10/2/2022 22:26,11019,11026.75,11019,11023.25
10/2/2022 22:27,11023.25,11025,11011,11014.25
10/2/2022 22:28,11014.25,11015,11000,11001.25
10/2/2022 22:29,11001.25,11008.75,10994.5,10995.5
10/2/2022 22:30,10995.5,10996,10982,10989
10/2/2022 22:31,10989,10995.25,10985.5,10994.75
10/2/2022 22:32,10994.75,11009.5,10994.5,11009
10/2/2022 22:33,11009,11015.5,11007.75,11014.75
10/2/2022 22:34,11014.75,11016,11003.25,11003.5
10/2/2022 22:35,11003.5,11007.75,10995.5,11007.75
10/2/2022 22:36,11007.75,11010,11002,11003.25
10/2/2022 22:37,11003.25,11003.5,10996,10996.75
10/2/2022 22:38,10996.75,11001.5,10992.75,11001.5
10/2/2022 22:39,11001.5,11010.75,11001.25,11009
10/2/2022 22:40,11009,11013.25,11008.75,11011.25
10/2/2022 22:41,11011.25,11013.75,11009.5,11012.75
10/2/2022 22:42,11012.75,11017.5,11004,11006.25
10/2/2022 22:43,11006.25,11008.25,11002.25,11007.75
10/2/2022 22:44,11007.75,11012.5,11007.5,11012.25
10/2/2022 22:45,11012.25,11019,11012,11018.75
10/2/2022 22:46,11018.75,11019,11012.5,11013.25
10/2/2022 22:47,11013.25,11017.25,11010,11016.5
10/2/2022 22:48,11016.5,11021.75,11014.75,11021
10/2/2022 22:49,11021,11022.5,11019.5,11021.5
10/2/2022 22:50,11021.5,11023.75,11019.5,11019.75
10/2/2022 22:51,11019.75,11020,11017.5,11018.75
10/2/2022 22:52,11018.75,11025,11018.25,11024
10/2/2022 22:53,11024,11027.5,11021,11027.5
10/2/2022 22:54,11027.5,11034.5,11025.25,11025.25
10/2/2022 22:55,11025.25,11030.5,11022.5,11023.5
10/2/2022 22:56,11023.5,11025.25,11018.5,11018.5
10/2/2022 22:57,11018.5,11018.5,11014,11015
10/2/2022 22:58,11015,11022,11014,11021.75
10/2/2022 22:59,11021.75,11024.25,11020,11022.75
10/2/2022 23:00,11022.75,11026.25,11021.5,11025.25
10/2/2022 23:01,11025.25,11029.5,11022.75,11023
10/2/2022 23:02,11023,11025.25,11016.5,11016.75
10/2/2022 23:03,11016.75,11018.5,11014.75,11017.25
10/2/2022 23:04,11017.25,11018,11015,11017.5
10/2/2022 23:05,11017.5,11022,11017,11020.5
10/2/2022 23:06,11020.5,11020.75,11015,11015.75
10/2/2022 23:07,11015.75,11019.5,11015.75,11017.25
10/2/2022 23:08,11017.25,11022.5,11015.75,11020.75
10/2/2022 23:09,11020.75,11029,11020.75,11028.25
10/2/2022 23:10,11028.25,11034.5,11024.25,11034.5
10/2/2022 23:11,11034.5,11034.75,11024.25,11025.75
10/2/2022 23:12,11025.75,11029.5,11023.75,11024.5
10/2/2022 23:13,11024.5,11025.5,11018.75,11019.25
10/2/2022 23:14,11019.25,11022.75,11014,11014.5
10/2/2022 23:15,11014.5,11017.25,11009.5,11009.5
10/2/2022 23:16,11009.5,11012,11002.75,11008.75
10/2/2022 23:17,11008.75,11011.5,11007,11010.75
10/2/2022 23:18,11010.75,11012.5,11008.75,11011.5
10/2/2022 23:19,11011.5,11011.5,11009.5,11010.75
10/2/2022 23:20,11010.75,11011.25,11005,11005.5
10/2/2022 23:21,11005.5,11009.75,11005.25,11009.75
10/2/2022 23:22,11009.75,11019,11006.25,11016.75
10/2/2022 23:23,11016.75,11019,11012,11014.75
10/2/2022 23:24,11014.75,11014.75,11010.75,11011.75
10/2/2022 23:25,11011.75,11018.25,11010.75,11016.75
10/2/2022 23:26,11016.75,11017.5,11007.25,11015.75
10/2/2022 23:27,11015.75,11015.75,11010.5,11011.25
10/2/2022 23:28,11011.25,11013.25,11007.25,11007.75
10/2/2022 23:29,11007.75,11010.5,11000.5,11000.5
10/2/2022 23:30,11000.5,11002.25,10996.75,11001.25
10/2/2022 23:31,11001.25,11006.25,11000,11006
10/2/2022 23:32,11006,11006.25,10997,10999
10/2/2022 23:33,10999,11001.25,10997.5,10997.5
10/2/2022 23:34,10997.5,11000,10995,10998
10/2/2022 23:35,10998,11001.25,10995.5,11001.25
10/2/2022 23:36,11001.25,11006.5,11000.5,11003.25
10/2/2022 23:37,11003.25,11005.5,11002.25,11002.75
10/2/2022 23:38,11002.75,11003.5,11001,11002
10/2/2022 23:39,11002,11004,11001.25,11003
10/2/2022 23:40,11003,11009,11003,11007
10/2/2022 23:41,11007,11007.25,10996.25,10997
10/2/2022 23:42,10997,10998.75,10995.5,10996.75
10/2/2022 23:43,10996.75,11001.25,10996,11000
10/2/2022 23:44,11000,11001,10998.5,10999.5
10/2/2022 23:45,10999.5,10999.5,10988.75,10990
10/2/2022 23:46,10990,11001.25,10989.25,11000.75
10/2/2022 23:47,11000.75,11001.25,10997.5,10998.75
10/2/2022 23:48,10998.75,11002,10997.5,11000.25
10/2/2022 23:49,11000.25,11001.25,10991.25,10993.25
10/2/2022 23:50,10993.25,10998.75,10985.5,10988.75
10/2/2022 23:51,10988.75,10991,10983,10984
10/2/2022 23:52,10984,10985.75,10937.25,10937.75
10/2/2022 23:53,10937.75,10955.25,10930,10951.5
10/2/2022 23:54,10951.5,10952.25,10941.25,10941.5
10/2/2022 23:55,10941.5,10949.75,10940,10949.5
10/2/2022 23:56,10949.5,10955,10940,10941.5
10/2/2022 23:57,10941.5,10942.5,10933,10935.75
10/2/2022 23:58,10935.75,10940,10934.5,10935
10/2/2022 23:59,10935,10944.75,10934,10942.75
10/3/2022 0:00,10942.75,10948.5,10941,10946.5
10/3/2022 0:01,10946.5,10946.5,10917,10918
10/3/2022 0:02,10918,10923.5,10912.25,10923.25
10/3/2022 0:03,10923.25,10924,10918.25,10921.75
10/3/2022 0:04,10921.75,10930.5,10920.5,10927.5
10/3/2022 0:05,10927.5,10927.75,10915,10915
10/3/2022 0:06,10915,10919.5,10898.75,10898.75
10/3/2022 0:07,10898.75,10913,10898,10912.25
10/3/2022 0:08,10912.25,10918,10910.5,10916.75
10/3/2022 0:09,10916.75,10918.75,10908,10908.25
10/3/2022 0:10,10908.25,10927.5,10906.25,10925.25
10/3/2022 0:11,10925.25,10926,10918.25,10924.25
10/3/2022 0:12,10924.25,10927.75,10921.5,10927.5
10/3/2022 0:13,10927.5,10931.75,10920,10923.25
